death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
dead state: reanimated	Dead State is a narrative-driven survival RPG set at the dawn of the undead apocalypse. Drawing inspiration from classic RPGs like Fallout, X-Com, and Suikoden, Dead State combines strategic, turn-based combat with base building mechanics, character creation, and social management.	['Zombies', 'Survival', 'RPG', 'Turn-Based', 'Strategy', 'Post-apocalyptic', 'Singleplayer', 'Turn-Based Strategy', 'Indie', 'Turn-Based Combat', 'Kickstarter', 'Horror', 'Open World', 'Early Access', 'Sandbox', 'Tactical', 'Simulation', 'Survival Horror', 'Isometric', 'Base Building']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
kami	KAMI is deceptively simple: fold out coloured paper to fill the screen in as few moves as possible. Relaxing and easy to pick up, you'll soon find yourself deep in contemplation to perfect each puzzle. Created by State of Play, famous for their handcrafted aesthetic, KAMI has been created with real paper in an elegant Japanese theme.	['Puzzle', 'Casual', 'Indie', 'Relaxing', '2D', 'Singleplayer', 'Colorful', 'Touch-Friendly', 'Difficult', 'Beautiful']	['Single-player']
choice of the deathless	Battle demons and undead attorneys, and win souls to pay back your student loans! At the elite demonic-law firm of Varkath Nebuchadnezzar Stone, you'll depose a fallen god, find romance, and maybe even make partner, if you don't lose your own soul first.	['Choose Your Own Adventure', 'Text-Based', 'RPG', 'Indie', 'Interactive Fiction', 'Female Protagonist', 'Choices Matter', 'LGBTQ+']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
bullet hell monday	This is a high-difficulty bullet hell shooting game and a sequel to "Bullet Hell Monday." It offers an exciting experience for players who demand advanced skills and precise strategies. As a common system, six types of special weapons are equipped, expanding the player's tactical range.	["Shoot 'Em Up", 'Bullet Hell', 'Top-Down Shooter', 'Action', 'Shooter', 'Tutorial', 'Indie', 'Arcade', '2D', 'Top-Down', 'Controller', 'Abstract', 'Score Attack', 'Psychedelic', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
blackwood crossing	Blackwood Crossing is a story-driven first-person adventure game. An intriguing and emotive tale exploring the fragile relationship between orphaned siblings, Scarlett and Finn. When their paths cross with a mysterious figure, an ordinary train ride evolves into a magical story of life, love and loss.	['Adventure', 'Indie', 'Story Rich', 'Female Protagonist', 'First-Person', 'Walking Simulator', 'Singleplayer', 'Short']	['Single-player', 'Steam Achievements', 'Full controller support', 'Stats', 'Remote Play on TV']
adventure time	Team up as Finn and Jake in a 3D adventure of epic proportions! The Land of Ooo has been transformed into a giant video game, and BMO has been kidnapped. Brawl your way through the Witch's garden, Ice Kingdom, Fire Kingdom, and even the Land of the Dead itself to rescue BMO and uncover the evil mastermind!	['Adventure', 'Action', 'Cartoon', 'RPG', 'Family Friendly', 'Funny', 'Singleplayer', 'Comedy', 'Epic', 'Third Person', '3D', 'Fantasy', 'Open World', 'Indie', 'Multiplayer', 'Arcade']	['Single-player', 'Steam Achievements', 'Full controller support']
delicious! pretty girls mahjong solitaire	The Pretty Girls are back and they're delicious! Check out an upgraded version of Zoo's top selling Mahjong Solitaire with 8 new girls and a candy flavored theme. Match tile pairs to reveal a Pretty Girl in a sexy outfit hiding underneath. As you clear stages, the girls get more and more delicious!	['Casual', 'Anime', 'Mature', 'Nudity', 'Sexual Content', 'Puzzle', 'Mahjong', 'Hentai', 'Singleplayer', 'Board Game', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']
star ruler 2	Massive scale 4X-RTS set in space. Control hundreds of planets, manipulate galactic politics, research numerous advanced technologies, and command thousands of units and hundreds of planets in your quest for galactic dominance.	['Strategy', 'Space', '4X', 'Sci-fi', 'RTS', 'Indie', 'Multiplayer']	['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']
european air war	Take to the skies over Europe during the most dangerous days of World War II.	['Simulation', 'Flight', 'World War II', 'Retro', 'Combat', 'Singleplayer', 'PvP', 'Local Co-Op', 'Local Multiplayer', 'Co-op', 'Multiplayer', 'War']	['Single-player', 'LAN PvP', 'LAN Co-op', 'Steam Cloud']
wayout 2: hex	Can you find it again?	['Casual', 'Indie', 'Puzzle', 'Atmospheric', 'Strategy', 'Minimalist']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
love love	Welcome to the retirement home! To win Joe's heart, you'll have to navigate the enticing world of gilfs, big hunky wolf-men, and sleepy presidents... Do you have what it takes?	['Dating Sim', 'Casual', 'Simulation', 'Visual Novel', 'Drama', 'Romance', 'Funny', 'Choices Matter', 'Political Sim', 'Indie', '2D', 'Colorful', 'Psychological Horror', 'Singleplayer', 'Story Rich']	['Single-player']
you don't know jack	Play the game that many consider to be YDKJ’s most fun offering – The Ride! Already played it? Trust us, you've forgotten everything by now. For the fourth volume of the mega-award-winning CD-ROM trivia game show, the YOU DON’T KNOW JACK crew decided to throw out the YDKJ rule book and start fresh!	['Trivia', 'Casual', 'Indie', 'Strategy', 'Comedy', 'Local Multiplayer', 'Party Game', 'Funny', 'Party']	['Single-player']
smooth operators	Smooth Operators is a classic Tycoon/Simulator game where you are the Building Architect, Hiring Manager, and Business Developer! Expand your building, Hire employees, and manage your own customer service company and lead it to financial success! But for gods sake - Keep your employees happy!	['Strategy', 'Management', 'Simulation', 'Casual', 'Automation', 'Sandbox', 'Capitalism', 'Building', '2D', 'Economy', 'Pixel Graphics', 'Immersive Sim', 'Funny', 'Idler', 'Comedy', 'God Game', 'Time Management', 'Old School', 'Level Editor', 'Dog']	['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Leaderboards', 'Includes level editor']
last hope	Zombie Tower Defense: Join the ongoing war, in an open world, against the undead zombie horde. Choose between multiple powerful heroes all with unique epic gear and skills! With the wide variety of towers you can create your own perfect strategy.	['Tower Defense', 'Zombies', 'Strategy', 'Indie', 'Adventure', 'Top-Down', 'Female Protagonist']	['Single-player', 'Steam Achievements', 'Steam Cloud']
skydrift	Skydrift Infinity is an action-packed arcade game focusing on the experience of flying alone, and with others, in a light, quick, fast-paced style.	['Racing', 'Combat Racing', 'Flight', 'Sports', 'PvP', 'Arcade', 'Tutorial', 'Action', '3D', 'Third Person', 'Split Screen', 'Controller', 'Vehicular Combat', 'Colorful', 'Family Friendly', 'Jet', 'Score Attack', 'Combat', '4 Player Local', 'Local Multiplayer']	['Single-player', 'Online PvP', 'LAN PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play Together']
still life	Still Life 2 also now available!	['Adventure', 'Point & Click', 'Mystery', 'Female Protagonist', 'Crime', 'Detective', 'Puzzle', 'Singleplayer', 'Noir', 'Horror', 'Escape Room', 'Investigation', 'Thriller', 'Story Rich', 'Atmospheric', 'Nudity', 'Classic']	['Single-player']
pizza connection 2	It's your empire... Take control! The game has it all! the depth of gameplay will have you on the edge of your seat for hours on-end. Build, manage, strategize and conquer the competition with the richest gameplay tycoon product ever offered!	['Simulation', 'Strategy', 'Management', 'Economy', 'Singleplayer', 'Classic', 'Indie', 'Retro', 'Cooking']	['Single-player']
mr. pumpkin adventure	Mr. Pumpkin's Adventure is a point-and-click puzzle game. The main character of this game is Mr. Pumpkin who lost his memories. During the adventure, you will help him solve all the puzzles, which will eventually unveil an evil plot.	['Adventure', 'Indie', 'Puzzle', 'Point & Click']	['Single-player', 'Steam Achievements']
faerie solitaire	Have magical fun in the addicting Card game, Faerie Solitaire! Find and raise a Faerie pet and repopulate the magical land of Avalon using the resources found by clearing each level.	['Solitaire', 'Casual', 'Board Game', 'Card Game', 'Tabletop', 'RPG', 'Cute', 'Relaxing', 'Puzzle', 'Colorful', 'Family Friendly', 'Fantasy', 'Dark Fantasy', 'Adventure', 'Beautiful', 'Singleplayer', 'Addictive', 'Epic', 'Great Soundtrack', 'Indie']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
windosill	A short, surprising, toy-like puzzle game.	['Casual', 'Point & Click', 'Indie', 'Short', 'Puzzle', 'Adventure', 'Surreal', 'Family Friendly', 'Atmospheric', 'Singleplayer', 'Cute', 'Beautiful', 'Relaxing']	['Single-player']
sword 2	Thrown into another world, Setoki Nozomu must fight to bring his friends home, while at the same time struggling against the ancient god that sleeps inside him. So begins a journey that will shake the very foundation of the universe. The sequel to the visual novel RPG, Aselia the Eternal.	['RPG', 'Strategy', 'Visual Novel', 'Anime', 'JRPG']	['Single-player', 'Steam Trading Cards', 'Steam Cloud']
europa universalis iii: divine wind	The 4th expansion of the classic historical strategy game Europa Universalis III enhances every aspect of the game to create a deeper experience.	['Strategy', 'Grand Strategy']	['Single-player']
dead end	Dead End Road is an atmospheric driving game, with a low-fi aesthetic and procedurally generated elements. Complete your journey to seek the assistance of the old witch at Dead End Road; Get there before daybreak and perhaps, just perhaps, you can escape this nightmare.	['Indie', 'Racing', 'Action', 'Horror', 'Retro', 'Driving', 'Psychological Horror', 'First-Person', 'Atmospheric']	['Single-player', 'Partial Controller Support']
bad rats: the rats' revenge	Bad Rats is a physics puzzle game where rats finally get their bloody revenge on their new prisoners: The cats. Come up with creative solutions for each puzzle using physics, functional objects, and your specially trained Rats. Try different ways of solving each puzzle to finish faster or earn higher scores.	['Cult Classic', 'Physics', 'Indie', 'Gore', 'Puzzle', 'Hentai', 'Beautiful', 'Singleplayer', 'Dark', 'Addictive', 'Mature', 'Choices Matter', 'Psychedelic', 'Co-op', 'Replay Value', 'Perma Death', 'Third-Person Shooter', 'Quick-Time Events', 'Violent', 'Blood']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
sweet fantasy	Visual novel. Young and pretty nymph Pumpkin fell in love with her mistress.	['Sexual Content', 'Nudity', 'Casual', 'Indie', 'Adventure', 'Visual Novel', 'Anime', 'Female Protagonist', 'LGBTQ+', 'Romance', 'Short', 'Mature', 'Singleplayer', 'Fantasy', 'Cute', 'Hentai']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
halo: spartan assault	Halo: Spartan Assault brings the excitement of Halo combat to Steam for the very first time. Battle your way through 30 action-packed missions against the Covenant as you explore the origin of the Spartan Ops program featured in Halo 4. *DirectX feature level 10 required. *	['Action', 'Top-Down Shooter', 'Sci-fi', 'Singleplayer', 'Top-Down', 'Shooter', 'Twin Stick Shooter', 'Strategy', 'Touch-Friendly', 'Arcade', 'Adventure', 'Great Soundtrack', 'Futuristic', 'Aliens', 'Multiplayer', 'Space', 'Isometric', 'Third Person', 'Third-Person Shooter', 'RTS']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
jumpjet rex	Test your dinosaur jump-jet skills with a game that redefines the platformer genre, aptly renaming it "platflyer." Simply put, you're a t-rex with rocket boots trying to save earth from an incoming asteroid. Do you have what it takes to stop it?	['Side Scroller', '2D Platformer', 'Runner', 'Racing', 'Difficult', 'Platformer', 'Action-Adventure', '2D', 'Cute', 'Dinosaurs', 'Linear', 'Multiple Endings', 'Nonlinear', 'Open World', 'Anime', 'Action', 'Pixel Graphics', 'Colorful', 'Space', 'Sci-fi']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
zombie bowl-o-rama	Bowl or Beware! From the depths of the graveyard…a gruesome gang in search of brains! When Zombies show up at the town’s lanes, it’s up to you to put ‘em back in the ground! The Zombies have taken over your favorite lanes, and it’s up to you to send ‘em back to the graveyard where they belong!	['Bowling', 'Zombies', 'Casual', 'Sports', 'Singleplayer', 'Funny', 'Horror']	['Single-player', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
dino	Dinosaur survival management game. Lead your own pack of dinos and feed to grow bigger. Can you survive or will you become extinct?	['Simulation', 'Strategy', 'Dinosaurs', 'Management', 'Survival', '2D', 'Life Sim', 'Relaxing', 'Indie', 'Singleplayer', 'Choices Matter']	['Single-player']
ninja gaiden		['Violent', 'Gore']	[]
conarium	Conarium is a chilling Lovecraftian game, which follows a gripping story involving four scientists and their endeavor to challenge what we normally consider to be the ‘absolute’ limits of nature. Inspired by H.P. Lovecraft’s novella "At the Mountains of Madness", but largely set after the original story.	['Adventure', 'Lovecraftian', 'Indie', 'Horror', 'Walking Simulator', 'First-Person', 'Psychological Horror', 'Atmospheric', 'Story Rich', 'Puzzle', 'Great Soundtrack', 'Sci-fi', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
dead pixels	A toxic waste spill finds its way into the water supply, causing the recently deceased to rise from their graves. Now it's up to you to blast your way through the hordes of undead if you're going to escape the city. On the way to your rescue, you'll search stores and houses for supplies, and trade with other survivors.	['Zombies', 'Action', 'Pixel Graphics', 'Indie', 'Local Co-Op', '2D', 'Retro', 'Survival', 'Co-op', 'RPG', 'Side Scroller', 'Singleplayer', 'Local Multiplayer', 'Multiplayer', 'Casual', 'Roguelike', 'Controller', 'Gore', 'Shooter', 'Procedural Generation']	['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play Together']
